iter	Passed	Remaining
0	27	27167
1	51	25808
2	67	22553
3	92	23109
4	105	21023
5	124	20684
6	148	21097
7	169	21052
8	185	20407
9	208	20593
10	231	20795
11	256	21080
12	279	21214
13	303	21383
14	329	21621
15	352	21681
16	376	21763
17	399	21812
18	408	21093
19	431	21147
20	450	21022
21	474	21105
22	499	21235
23	523	21299
24	535	20902
25	547	20508
26	570	20557
27	579	20118
28	602	20165
29	625	20210
30	648	20261
31	663	20081
32	686	20108
33	710	20178
34	732	20196
35	755	20240
36	780	20303
37	806	20409
38	830	20470
39	850	20417
40	874	20452
41	900	20534
42	923	20555
43	949	20635
44	976	20723
45	1003	20812
46	1030	20889
47	1055	20924
48	1079	20946
49	1104	20992
50	1130	21035
51	1155	21067
52	1173	20971
53	1199	21010
54	1210	20795
55	1235	20830
56	1258	20818
57	1285	20885
58	1315	20983
59	1342	21035
60	1368	21062
61	1394	21093
62	1419	21117
63	1437	21025
64	1463	21048
65	1488	21064
66	1512	21059
67	1537	21069
68	1561	21072
69	1584	21057
70	1607	21031
71	1630	21015
72	1656	21032
73	1683	21061
74	1722	21247
75	1748	21261
76	1763	21133
77	1790	21166
78	1817	21193
79	1843	21194
80	1867	21185
81	1887	21135
82	1911	21119
83	1935	21107
84	1962	21130
85	1988	21135
86	2013	21125
87	2036	21103
88	2059	21084
89	2083	21063
90	2109	21075
91	2136	21081
92	2160	21074
93	2174	20961
94	2199	20949
95	2209	20810
96	2234	20797
97	2258	20784
98	2281	20767
99	2306	20758
100	2312	20579
101	2334	20555
102	2359	20550
103	2377	20482
104	2386	20340
105	2402	20261
106	2418	20183
107	2443	20185
108	2469	20187
109	2496	20197
110	2521	20192
111	2545	20183
112	2570	20175
113	2593	20160
114	2620	20164
115	2649	20193
116	2677	20205
117	2702	20199
118	2729	20205
119	2754	20200
120	2780	20200
121	2797	20134
122	2823	20134
123	2840	20066
124	2865	20056
125	2891	20055
126	2917	20052
127	2943	20051
128	2968	20043
129	2986	19985
130	3012	19984
131	3037	19971
132	3061	19960
133	3087	19953
134	3112	19941
135	3138	19935
136	3163	19929
137	3190	19930
138	3203	19845
139	3229	19837
140	3256	19836
141	3284	19843
142	3309	19831
143	3336	19835
144	3360	19815
145	3384	19796
146	3407	19773
147	3431	19754
148	3455	19734
149	3460	19610
150	3483	19586
151	3507	19568
152	3532	19553
153	3557	19541
154	3581	19524
155	3605	19505
156	3629	19486
157	3652	19466
158	3678	19454
159	3703	19443
160	3729	19432
161	3757	19435
162	3785	19437
163	3811	19429
164	3836	19414
165	3860	19393
166	3884	19376
167	3909	19363
168	3935	19351
169	3955	19309
170	3979	19291
171	3985	19184
172	4013	19187
173	4039	19176
174	4064	19162
175	4089	19145
176	4114	19130
177	4134	19093
178	4160	19082
179	4184	19063
180	4209	19049
181	4234	19033
182	4258	19013
183	4271	18942
184	4294	18917
185	4317	18893
186	4340	18871
187	4369	18873
188	4397	18869
189	4428	18881
190	4459	18886
191	4483	18867
192	4511	18863
193	4536	18845
194	4561	18828
195	4583	18802
196	4606	18778
197	4618	18708
198	4634	18654
199	4658	18633
200	4681	18610
201	4706	18591
202	4730	18572
203	4754	18552
204	4778	18531
205	4801	18507
206	4826	18489
207	4851	18471
208	4876	18456
209	4890	18395
210	4914	18377
211	4942	18370
212	4969	18361
213	4979	18287
214	5008	18287
215	5034	18273
216	5060	18260
217	5070	18188
218	5094	18169
219	5120	18155
220	5145	18137
221	5170	18121
222	5195	18102
223	5218	18078
224	5244	18066
225	5275	18066
226	5300	18050
227	5325	18032
228	5352	18019
229	5376	17999
230	5399	17973
231	5424	17955
232	5450	17941
233	5474	17919
234	5497	17896
235	5521	17875
236	5546	17854
237	5562	17808
238	5584	17782
239	5600	17733
240	5622	17708
241	5647	17687
242	5670	17664
243	5694	17644
244	5717	17619
245	5741	17596
246	5766	17581
247	5792	17563
248	5818	17548
249	5843	17531
250	5869	17513
251	5894	17496
252	5920	17479
253	5944	17459
254	5972	17448
255	5995	17424
256	6015	17391
257	6043	17380
258	6070	17369
259	6095	17349
260	6120	17331
261	6146	17312
262	6170	17291
263	6194	17269
264	6218	17248
265	6242	17225
266	6266	17203
267	6292	17185
268	6315	17162
269	6338	17138
270	6362	17114
271	6386	17091
272	6409	17069
273	6432	17044
274	6456	17022
275	6481	17001
276	6506	16981
277	6529	16959
278	6553	16935
279	6577	16914
280	6601	16891
281	6624	16867
282	6648	16843
283	6671	16820
284	6694	16794
285	6718	16771
286	6742	16749
287	6768	16732
288	6791	16707
289	6815	16685
290	6839	16662
291	6872	16663
292	6902	16656
293	6936	16658
294	6961	16635
295	6986	16617
296	7015	16606
297	7045	16597
298	7070	16576
299	7094	16552
300	7116	16525
301	7140	16502
302	7164	16480
303	7188	16457
304	7212	16434
305	7235	16409
306	7259	16386
307	7285	16368
308	7310	16347
309	7335	16326
310	7359	16304
311	7382	16279
312	7408	16259
313	7432	16238
314	7456	16215
315	7481	16193
316	7506	16173
317	7533	16155
318	7557	16134
319	7582	16111
320	7605	16088
321	7629	16064
322	7654	16042
323	7678	16020
324	7702	15996
325	7725	15972
326	7751	15952
327	7775	15929
328	7798	15905
329	7822	15882
330	7846	15858
331	7870	15836
332	7893	15811
333	7917	15788
334	7941	15765
335	7966	15742
336	7990	15720
337	8014	15696
338	8045	15687
339	8069	15663
340	8095	15645
341	8119	15620
342	8142	15597
343	8165	15572
344	8189	15548
345	8214	15526
346	8237	15502
347	8261	15477
348	8284	15454
349	8310	15433
350	8338	15417
351	8376	15419
352	8414	15421
353	8457	15433
354	8483	15413
355	8511	15397
356	8537	15377
357	8563	15356
358	8589	15337
359	8615	15317
360	8644	15301
361	8671	15283
362	8697	15262
363	8723	15241
364	8749	15221
365	8774	15199
366	8800	15178
367	8825	15156
368	8850	15135
369	8875	15112
370	8901	15090
371	8926	15069
372	8950	15046
373	8975	15023
374	9000	15001
375	9026	14980
376	9061	14974
377	9085	14950
378	9110	14927
379	9136	14906
380	9161	14884
381	9186	14861
382	9213	14842
383	9243	14828
384	9273	14814
385	9301	14796
386	9329	14777
387	9358	14761
388	9385	14742
389	9413	14723
390	9441	14705
391	9468	14686
392	9496	14667
393	9525	14650
394	9554	14633
395	9579	14611
396	9605	14589
397	9631	14568
398	9658	14548
399	9683	14525
400	9708	14501
401	9732	14477
402	9759	14457
403	9785	14435
404	9813	14416
405	9837	14392
406	9861	14368
407	9885	14344
408	9910	14320
409	9934	14296
410	9959	14272
411	9984	14250
412	10008	14225
413	10034	14203
414	10058	14178
415	10089	14164
416	10113	14140
417	10140	14119
418	10167	14098
419	10192	14075
420	10218	14053
421	10245	14032
422	10271	14010
423	10295	13986
424	10319	13962
425	10343	13937
426	10367	13912
427	10392	13888
428	10418	13867
429	10445	13845
430	10471	13824
431	10501	13807
432	10528	13786
433	10554	13764
434	10581	13743
435	10606	13720
436	10631	13697
437	10657	13674
438	10684	13654
439	10710	13632
440	10736	13609
441	10761	13585
442	10785	13561
443	10810	13537
444	10835	13513
445	10859	13489
446	10883	13464
447	10909	13441
448	10933	13417
449	10957	13392
450	10988	13376
451	11015	13355
452	11040	13331
453	11067	13310
454	11101	13297
455	11129	13277
456	11154	13253
457	11179	13230
458	11209	13212
459	11235	13189
460	11260	13165
461	11287	13144
462	11315	13123
463	11340	13100
464	11365	13076
465	11391	13053
466	11414	13028
467	11439	13003
468	11464	12979
469	11489	12956
470	11515	12933
471	11541	12910
472	11571	12892
473	11596	12869
474	11623	12847
475	11648	12823
476	11674	12800
477	11700	12777
478	11728	12756
479	11753	12733
480	11779	12710
481	11805	12687
482	11831	12664
483	11857	12641
484	11882	12617
485	11909	12595
486	11934	12571
487	11959	12548
488	11984	12523
489	12012	12502
490	12038	12479
491	12063	12456
492	12088	12431
493	12121	12416
494	12154	12399
495	12178	12375
496	12203	12351
497	12228	12327
498	12256	12305
499	12282	12282
500	12311	12262
501	12340	12241
502	12366	12219
503	12393	12197
504	12420	12174
505	12448	12152
506	12476	12132
507	12506	12112
508	12534	12091
509	12562	12070
510	12588	12046
511	12614	12023
512	12642	12001
513	12671	11981
514	12698	11958
515	12727	11938
516	12756	11917
517	12784	11895
518	12811	11873
519	12838	11850
520	12864	11827
521	12888	11802
522	12913	11777
523	12938	11753
524	12963	11729
525	12989	11704
526	13014	11681
527	13038	11655
528	13062	11630
529	13085	11604
530	13110	11579
531	13178	11593
532	13204	11569
533	13238	11552
534	13263	11528
535	13288	11503
536	13313	11478
537	13337	11453
538	13361	11427
539	13385	11402
540	13411	11379
541	13438	11356
542	13464	11331
543	13490	11308
544	13517	11284
545	13542	11260
546	13568	11236
547	13593	11212
548	13620	11189
549	13646	11165
550	13671	11141
551	13695	11115
552	13719	11090
553	13745	11065
554	13771	11041
555	13796	11017
556	13826	10997
557	13851	10971
558	13876	10946
559	13899	10921
560	13924	10895
561	13947	10870
562	13972	10845
563	13998	10821
564	14023	10797
565	14051	10774
566	14079	10752
567	14105	10727
568	14130	10703
569	14154	10677
570	14178	10652
571	14213	10635
572	14239	10611
573	14264	10586
574	14289	10561
575	14315	10537
576	14341	10513
577	14365	10488
578	14393	10465
579	14419	10441
580	14443	10416
581	14467	10391
582	14491	10365
583	14519	10342
