iter	Logloss	Accuracy	F1
0	0.677373126	0.7929292929	0.6805194805
1	0.6606181476	0.803030303	0.688
2	0.6480804811	0.803030303	0.691292876
3	0.634056836	0.8047138047	0.6979166667
4	0.6222855049	0.8047138047	0.6979166667
5	0.6110495923	0.8063973064	0.7058823529
6	0.59788117	0.8063973064	0.7028423773
7	0.5874380023	0.8097643098	0.7080103359
8	0.5778792497	0.8097643098	0.7080103359
9	0.5685230832	0.8080808081	0.7091836735
10	0.5597293025	0.8114478114	0.7142857143
11	0.5507892119	0.8080808081	0.7091836735
12	0.5425763394	0.8063973064	0.7058823529
13	0.5363637619	0.8047138047	0.7025641026
14	0.5292873389	0.8080808081	0.7106598985
15	0.5236530534	0.8063973064	0.7073791349
16	0.518498591	0.8063973064	0.7073791349
17	0.5120560818	0.8097643098	0.7095115681
18	0.5092298789	0.8063973064	0.7073791349
19	0.4994694136	0.8114478114	0.7157360406
20	0.4946741459	0.8097643098	0.7124681934
21	0.4902918938	0.8097643098	0.7124681934
22	0.4858638077	0.8097643098	0.7124681934
23	0.4794577381	0.8114478114	0.7157360406
24	0.4781987881	0.8114478114	0.7142857143
25	0.4756788855	0.8097643098	0.7124681934
26	0.473655958	0.8148148148	0.7193877551
27	0.4720618105	0.8114478114	0.7142857143
28	0.4686419105	0.8114478114	0.7142857143
29	0.4650367856	0.8148148148	0.7193877551
30	0.4612648871	0.8148148148	0.7179487179
31	0.4593540201	0.8148148148	0.7164948454
32	0.4559833349	0.8131313131	0.7146529563
33	0.4529894358	0.8131313131	0.7146529563
34	0.4502953487	0.8131313131	0.7146529563
35	0.4460418712	0.8164983165	0.7197943445
36	0.4437573326	0.8148148148	0.7164948454
37	0.440858798	0.8198653199	0.7249357326
38	0.438691312	0.8249158249	0.7346938776
39	0.4366629491	0.8232323232	0.7300771208
40	0.4349072793	0.8198653199	0.7235142119
41	0.4319073408	0.8265993266	0.735218509
42	0.4304900516	0.8249158249	0.7319587629
43	0.4283055402	0.8249158249	0.7319587629
44	0.4260497454	0.8249158249	0.7319587629
45	0.4238996078	0.8282828283	0.7384615385
46	0.422641816	0.8265993266	0.735218509
47	0.4207632152	0.8265993266	0.735218509
48	0.4187064123	0.8249158249	0.7319587629
49	0.4158719357	0.8249158249	0.7319587629
50	0.4147394643	0.8249158249	0.7319587629
51	0.4132117446	0.8265993266	0.735218509
52	0.4125191932	0.8265993266	0.735218509
53	0.4105671546	0.8265993266	0.735218509
54	0.4104023562	0.8265993266	0.735218509
55	0.4086900486	0.8282828283	0.7371134021
56	0.4081949914	0.8282828283	0.7371134021
57	0.4068364777	0.8265993266	0.735218509
58	0.4052188265	0.8265993266	0.7338501292
59	0.4040885658	0.8265993266	0.7338501292
60	0.4028070434	0.8265993266	0.735218509
61	0.402104628	0.82996633	0.7403598972
62	0.399933183	0.8367003367	0.7519181586
63	0.3996086965	0.8367003367	0.7519181586
64	0.3987173704	0.8383838384	0.7551020408
65	0.3975411088	0.8383838384	0.7551020408
66	0.3964970631	0.8400673401	0.7582697201
67	0.3953950603	0.8417508418	0.7602040816
68	0.3941630814	0.8434343434	0.7633587786
69	0.3936554363	0.8434343434	0.7633587786
