iter	Logloss	Accuracy	F1
0	0.67908402	0.7811447811	0.7018348624
1	0.6617477937	0.8097643098	0.7196029777
2	0.6471596479	0.8047138047	0.6931216931
3	0.6328963051	0.8063973064	0.6997389034
4	0.618038914	0.8097643098	0.7095115681
5	0.6055943066	0.8063973064	0.7012987013
6	0.5949933696	0.8063973064	0.6997389034
7	0.5833991793	0.8097643098	0.7064935065
8	0.5710526845	0.8181818182	0.71875
9	0.5622828312	0.8131313131	0.7086614173
10	0.5529754815	0.8114478114	0.7052631579
11	0.5455286741	0.8114478114	0.7052631579
12	0.538089271	0.8114478114	0.7052631579
13	0.5299927886	0.8114478114	0.7068062827
14	0.5229817482	0.8148148148	0.7135416667
15	0.5148693428	0.8131313131	0.7101827676
16	0.5082246715	0.8181818182	0.71875
17	0.5025951581	0.8181818182	0.71875
18	0.4982948125	0.8164983165	0.7168831169
19	0.4933811725	0.8181818182	0.7202072539
20	0.4877896238	0.8164983165	0.7168831169
21	0.4839463791	0.8164983165	0.7168831169
22	0.4793423416	0.8148148148	0.7150259067
23	0.4752933246	0.8131313131	0.7116883117
24	0.4709580482	0.8164983165	0.7183462532
25	0.467646968	0.8181818182	0.7216494845
26	0.4634931435	0.8198653199	0.726342711
27	0.4614160221	0.8198653199	0.7249357326
28	0.4581184725	0.8198653199	0.7249357326
29	0.455374887	0.8215488215	0.7282051282
30	0.4522247871	0.8232323232	0.7314578005
31	0.4489548553	0.8232323232	0.7300771208
32	0.4462454425	0.8249158249	0.7333333333
33	0.4428260213	0.8265993266	0.73657289
34	0.4410853573	0.8249158249	0.7346938776
35	0.4391109487	0.8249158249	0.7346938776
36	0.4365582416	0.8265993266	0.73657289
37	0.4349794846	0.8249158249	0.7346938776
38	0.4324171341	0.8282828283	0.7411167513
39	0.4298495217	0.82996633	0.7430025445
40	0.4282617816	0.82996633	0.7430025445
41	0.4271012379	0.8282828283	0.7397959184
42	0.4247867805	0.82996633	0.7416879795
43	0.4220960785	0.8316498316	0.7448979592
44	0.4191493482	0.835016835	0.7512690355
45	0.4175336632	0.835016835	0.7512690355
46	0.4159961848	0.835016835	0.7512690355
47	0.4137205251	0.835016835	0.75
48	0.4118618819	0.835016835	0.75
49	0.4106269001	0.8367003367	0.7519181586
50	0.4094762745	0.8400673401	0.7570332481
51	0.4076122415	0.8400673401	0.7570332481
52	0.4073647894	0.8400673401	0.7570332481
53	0.4053736809	0.8417508418	0.7602040816
54	0.4039319444	0.8434343434	0.7633587786
55	0.4025542641	0.8434343434	0.7633587786
56	0.4014956752	0.8434343434	0.7633587786
57	0.4005121284	0.8451178451	0.7653061224
58	0.3983319412	0.8451178451	0.7653061224
59	0.3973877415	0.8468013468	0.7684478372
60	0.3958838027	0.8468013468	0.7684478372
61	0.3953346239	0.8468013468	0.7684478372
62	0.3947879277	0.8484848485	0.7715736041
63	0.3941314888	0.8501683502	0.7746835443
64	0.3919593522	0.8518518519	0.7766497462
65	0.3899959491	0.8518518519	0.7766497462
66	0.389194993	0.8518518519	0.7766497462
67	0.3878672596	0.8518518519	0.7766497462
68	0.3867103904	0.8518518519	0.7766497462
69	0.3854570801	0.8518518519	0.7766497462
70	0.3836151949	0.8518518519	0.7766497462
71	0.3826790414	0.8518518519	0.7766497462
72	0.381378663	0.8518518519	0.7766497462
73	0.3805641164	0.8501683502	0.7746835443
74	0.3796622318	0.8518518519	0.7766497462
75	0.3791241307	0.8518518519	0.7766497462
76	0.3787703068	0.8518518519	0.7766497462
77	0.3784548846	0.8518518519	0.7766497462
78	0.377696341	0.8518518519	0.7766497462
79	0.3768541323	0.8535353535	0.7797468354
80	0.3759575444	0.8535353535	0.7808564232
81	0.3751730467	0.8518518519	0.7777777778
82	0.3742266727	0.8535353535	0.7808564232
83	0.3734940472	0.8535353535	0.7819548872
84	0.3724656374	0.8535353535	0.7819548872
85	0.3716451583	0.8535353535	0.7819548872
86	0.3715577596	0.8552188552	0.785
87	0.3705045953	0.8552188552	0.785
88	0.370371028	0.8552188552	0.785
89	0.3694117328	0.8552188552	0.785
90	0.3686864367	0.8552188552	0.785
91	0.3679847888	0.8552188552	0.785
92	0.3673277559	0.8552188552	0.785
93	0.3670127562	0.8552188552	0.785
94	0.3666536919	0.8569023569	0.7880299252
95	0.3662538199	0.8585858586	0.7910447761
96	0.3655419835	0.8569023569	0.7880299252
97	0.3647019271	0.8585858586	0.7910447761
98	0.3645075003	0.8585858586	0.7910447761
99	0.364388536	0.8585858586	0.7910447761
100	0.3638511154	0.8585858586	0.7910447761
101	0.3631812541	0.8602693603	0.794044665
102	0.3629843291	0.8602693603	0.794044665
103	0.361968881	0.8602693603	0.794044665
104	0.360052699	0.8636363636	0.7990074442
105	0.3596180332	0.8636363636	0.7990074442
106	0.3588771099	0.8636363636	0.7990074442
107	0.3582187584	0.8653198653	0.801980198
108	0.3577728174	0.8653198653	0.801980198
109	0.3573359224	0.867003367	0.8049382716
110	0.3562764365	0.867003367	0.8049382716
111	0.3552931421	0.867003367	0.8049382716
112	0.3549712845	0.8653198653	0.802955665
113	0.3545441751	0.8653198653	0.802955665
114	0.3543887999	0.8653198653	0.802955665
115	0.3536709075	0.8653198653	0.802955665
116	0.3536208353	0.8653198653	0.802955665
117	0.3533956634	0.8653198653	0.802955665
118	0.3527041754	0.8636363636	0.8
119	0.351238709	0.8653198653	0.801980198
120	0.3505596945	0.867003367	0.8058968059
121	0.3494961942	0.8686868687	0.8078817734
122	0.3481894933	0.867003367	0.8049382716
123	0.3477241344	0.8686868687	0.8078817734
124	0.3477117655	0.8686868687	0.8078817734
125	0.3471374864	0.8703703704	0.8108108108
126	0.3464961671	0.8703703704	0.8108108108
127	0.3460916463	0.8703703704	0.8108108108
128	0.3454864207	0.8703703704	0.8117359413
129	0.3450991255	0.8720538721	0.8137254902
130	0.3446915827	0.8703703704	0.8117359413
131	0.344070791	0.8720538721	0.8137254902
132	0.34340909	0.8720538721	0.8137254902
133	0.3434047065	0.8720538721	0.8137254902
134	0.3433966757	0.8720538721	0.8137254902
135	0.3430562687	0.8720538721	0.8137254902
136	0.3428871039	0.8737373737	0.8157248157
137	0.3421285849	0.8720538721	0.8137254902
138	0.3415576944	0.8737373737	0.8157248157
139	0.3415023279	0.8737373737	0.8157248157
140	0.3405903092	0.8737373737	0.8157248157
141	0.3403997066	0.8737373737	0.8157248157
142	0.3403834821	0.8737373737	0.8157248157
143	0.3396539835	0.8737373737	0.8157248157
144	0.3388245365	0.8737373737	0.8157248157
145	0.3381778698	0.8720538721	0.8137254902
146	0.3372533018	0.8754208754	0.8177339901
147	0.3364104735	0.8737373737	0.8157248157
148	0.3359026049	0.8754208754	0.818627451
149	0.3354453442	0.8754208754	0.818627451
150	0.3354453384	0.8754208754	0.818627451
151	0.3351264819	0.8754208754	0.818627451
152	0.3351142065	0.8754208754	0.818627451
153	0.334555195	0.8771043771	0.8215158924
154	0.3343102109	0.8787878788	0.8235294118
155	0.3337240944	0.8771043771	0.8215158924
156	0.3333109308	0.8804713805	0.8255528256
157	0.3327514001	0.8787878788	0.8235294118
158	0.3326532304	0.8804713805	0.8255528256
159	0.3323405774	0.8804713805	0.8255528256
160	0.3323244825	0.8804713805	0.8255528256
161	0.3322423579	0.8804713805	0.8255528256
162	0.3318692997	0.8804713805	0.8255528256
163	0.3307751097	0.8804713805	0.8255528256
164	0.3306923698	0.8804713805	0.8255528256
165	0.3299635474	0.8804713805	0.8255528256
166	0.3299285741	0.8804713805	0.8255528256
167	0.3286889335	0.8804713805	0.8255528256
