iter	Logloss	Accuracy	F1
0	0.6729744771	0.8215488215	0.7239583333
1	0.6557767095	0.8232323232	0.7457627119
2	0.6404446249	0.8282828283	0.743718593
3	0.626189799	0.8265993266	0.7444168734
4	0.6122435884	0.8265993266	0.7444168734
5	0.5950338006	0.8316498316	0.7524752475
6	0.5823201403	0.8316498316	0.7524752475
7	0.570139629	0.8316498316	0.7524752475
8	0.5596100428	0.8316498316	0.7524752475
9	0.5534542364	0.8265993266	0.7506053269
10	0.5443869408	0.8265993266	0.7506053269
11	0.5344009653	0.8265993266	0.7506053269
12	0.5243725286	0.8265993266	0.7506053269
13	0.518192565	0.8265993266	0.7506053269
14	0.5096029826	0.8265993266	0.7506053269
15	0.5029960048	0.8265993266	0.7506053269
16	0.4957264761	0.8265993266	0.7506053269
17	0.490330045	0.8265993266	0.7506053269
18	0.4849349216	0.8265993266	0.7506053269
19	0.4778173477	0.8265993266	0.7506053269
20	0.472938027	0.8265993266	0.7506053269
21	0.467427058	0.8265993266	0.7506053269
22	0.463373576	0.8265993266	0.7506053269
23	0.4589148181	0.8265993266	0.7506053269
24	0.4547625239	0.8265993266	0.7506053269
25	0.4495724289	0.82996633	0.7542579075
26	0.4456262008	0.82996633	0.7542579075
27	0.4425891638	0.8265993266	0.7506053269
28	0.4411454384	0.8265993266	0.7506053269
29	0.4380286199	0.82996633	0.7542579075
30	0.4338181949	0.8265993266	0.7506053269
31	0.4325342146	0.8265993266	0.7506053269
32	0.4308651401	0.82996633	0.7542579075
33	0.4294947407	0.82996633	0.7530562347
34	0.4262868293	0.82996633	0.7530562347
35	0.4246113009	0.8316498316	0.756097561
36	0.4211703343	0.8333333333	0.7567567568
37	0.4182256742	0.8333333333	0.7567567568
38	0.4167553865	0.835016835	0.7598039216
39	0.4135312406	0.835016835	0.7598039216
40	0.4124231309	0.8367003367	0.7628361858
41	0.4103780205	0.8367003367	0.7628361858
42	0.4089654264	0.8333333333	0.7567567568
43	0.4056901852	0.8383838384	0.7647058824
44	0.4025807107	0.8383838384	0.7647058824
45	0.4003891716	0.8383838384	0.7647058824
46	0.3998524137	0.8383838384	0.7647058824
47	0.3962286868	0.8400673401	0.7677261614
48	0.3945289219	0.8400673401	0.7677261614
49	0.3937960604	0.8383838384	0.7647058824
50	0.3920000369	0.8400673401	0.7677261614
51	0.3910845045	0.8417508418	0.7707317073
52	0.3893228526	0.8400673401	0.7677261614
53	0.3875305811	0.8417508418	0.7707317073
54	0.3856084054	0.8400673401	0.7677261614
55	0.3832702855	0.8417508418	0.7696078431
56	0.3823179391	0.8417508418	0.7696078431
57	0.3820562345	0.8417508418	0.7696078431
58	0.3803846844	0.8468013468	0.7775061125
59	0.3797512965	0.8468013468	0.7775061125
60	0.3786008796	0.8484848485	0.7794117647
61	0.376529195	0.8501683502	0.782396088
62	0.3753708306	0.8501683502	0.782396088
63	0.3737057487	0.8501683502	0.782396088
64	0.3726506027	0.8535353535	0.7883211679
65	0.3718509214	0.8535353535	0.7883211679
66	0.3705130391	0.8552188552	0.7912621359
67	0.3691436846	0.8552188552	0.7912621359
68	0.368543083	0.8569023569	0.794188862
