iter	Logloss	Accuracy	F1
83	0.3802925079	0.8502994012	0.7716894977
84	0.3793771363	0.8488023952	0.7688787185
85	0.3792169171	0.8488023952	0.7688787185
86	0.3782712108	0.8502994012	0.7716894977
87	0.3774515183	0.8502994012	0.7716894977
88	0.3769812439	0.8502994012	0.7716894977
89	0.3764735645	0.8502994012	0.7716894977
90	0.3754114812	0.8502994012	0.7716894977
91	0.374714414	0.8502994012	0.7716894977
92	0.3745579611	0.8502994012	0.7716894977
93	0.3742688906	0.8502994012	0.7716894977
94	0.3738527697	0.8502994012	0.7716894977
95	0.3733778085	0.8502994012	0.7716894977
96	0.3728777352	0.8502994012	0.7716894977
97	0.3722808337	0.8502994012	0.7716894977
98	0.3715319769	0.8502994012	0.7716894977
99	0.3713123348	0.8502994012	0.7716894977
100	0.3711680967	0.8502994012	0.7716894977
101	0.3701463452	0.8502994012	0.7716894977
102	0.3696276848	0.8502994012	0.7716894977
103	0.368795474	0.8488023952	0.7688787185
104	0.3680006001	0.8488023952	0.7688787185
105	0.3678459771	0.8488023952	0.7688787185
106	0.3672393778	0.8502994012	0.7716894977
107	0.3672117213	0.8502994012	0.7716894977
108	0.366554577	0.8502994012	0.7716894977
109	0.365573918	0.8502994012	0.7716894977
110	0.3654657359	0.8502994012	0.7716894977
111	0.3646548501	0.8502994012	0.7716894977
112	0.363467437	0.8502994012	0.7716894977
113	0.363006476	0.8502994012	0.7716894977
114	0.3624457535	0.8517964072	0.7744874715
115	0.3616971793	0.8532934132	0.7772727273
116	0.3615270989	0.8532934132	0.7772727273
117	0.3614277494	0.8532934132	0.7772727273
118	0.3603143525	0.8532934132	0.7772727273
119	0.3599630077	0.8517964072	0.7744874715
120	0.3592807155	0.8517964072	0.7744874715
121	0.3587750858	0.8517964072	0.7744874715
122	0.3583614208	0.8532934132	0.7762557078
123	0.3580263649	0.8562874251	0.7818181818
124	0.3574388065	0.8577844311	0.7845804989
125	0.3567529777	0.8562874251	0.7818181818
126	0.3561014505	0.8562874251	0.7818181818
127	0.3558349448	0.8577844311	0.7845804989
128	0.355834804	0.8577844311	0.7845804989
129	0.3552631941	0.8592814371	0.7873303167
130	0.3551325184	0.8592814371	0.7873303167
131	0.3549290851	0.8577844311	0.7845804989
132	0.3541759687	0.8577844311	0.7845804989
133	0.354102444	0.8577844311	0.7845804989
134	0.3540080156	0.8577844311	0.7845804989
135	0.3534041117	0.8592814371	0.7873303167
136	0.3531427252	0.8577844311	0.7845804989
137	0.3526642267	0.8577844311	0.7845804989
138	0.3517461097	0.8607784431	0.7900677201
139	0.3510655338	0.8622754491	0.7927927928
140	0.3508675421	0.8622754491	0.7927927928
141	0.3499321249	0.8622754491	0.7927927928
142	0.3498985411	0.8622754491	0.7927927928
143	0.3492545059	0.8637724551	0.795505618
144	0.3489517879	0.8637724551	0.795505618
145	0.3485264911	0.8637724551	0.795505618
146	0.3481955059	0.8637724551	0.795505618
147	0.3472828648	0.8637724551	0.795505618
148	0.346177192	0.871257485	0.8088888889
149	0.3456411678	0.871257485	0.8088888889
150	0.3448944504	0.871257485	0.8088888889
151	0.3445741981	0.871257485	0.8088888889
152	0.3443865473	0.869760479	0.8070953437
153	0.3439866532	0.869760479	0.8070953437
154	0.3437704513	0.869760479	0.8070953437
155	0.3433918053	0.8682634731	0.8044444444
156	0.3430506039	0.8682634731	0.8044444444
157	0.3425826845	0.8682634731	0.8044444444
158	0.3425423613	0.8682634731	0.8044444444
159	0.3420207399	0.8682634731	0.8044444444
160	0.341913758	0.8682634731	0.8044444444
161	0.3414931188	0.8682634731	0.8044444444
162	0.3408225136	0.8682634731	0.8044444444
163	0.3406299975	0.871257485	0.8097345133
164	0.3406299972	0.871257485	0.8097345133
165	0.340174645	0.869760479	0.8070953437
166	0.3395948622	0.871257485	0.8097345133
167	0.3395948619	0.871257485	0.8097345133
168	0.3391893501	0.869760479	0.8070953437
169	0.3391193125	0.871257485	0.8097345133
170	0.3384839535	0.871257485	0.8097345133
171	0.3383552902	0.871257485	0.8097345133
172	0.337937857	0.871257485	0.8097345133
173	0.3372661441	0.871257485	0.8097345133
174	0.3369315313	0.871257485	0.8097345133
175	0.3366365614	0.871257485	0.8097345133
176	0.3361742868	0.874251497	0.8149779736
177	0.3360777878	0.874251497	0.8149779736
178	0.3355855301	0.872754491	0.8123620309
179	0.3354022626	0.874251497	0.814159292
180	0.3352006786	0.875748503	0.8167770419
181	0.3344942402	0.874251497	0.814159292
182	0.3340321327	0.875748503	0.8167770419
183	0.3333556166	0.878742515	0.821978022
184	0.3330068314	0.878742515	0.821978022
185	0.3329831725	0.878742515	0.821978022
186	0.3323022642	0.880239521	0.8245614035
187	0.3322698512	0.878742515	0.821978022
188	0.3314342691	0.880239521	0.8245614035
189	0.3312887637	0.878742515	0.821978022
190	0.3309873827	0.878742515	0.821978022
191	0.3307796409	0.878742515	0.821978022
192	0.3306577501	0.878742515	0.821978022
193	0.3299342002	0.880239521	0.8245614035
194	0.3291372887	0.8817365269	0.8271334792
195	0.3285707111	0.8817365269	0.8271334792
196	0.3282817519	0.8817365269	0.8271334792
197	0.3273961657	0.8847305389	0.8322440087
198	0.3272149609	0.8847305389	0.8322440087
199	0.3266134302	0.8847305389	0.8322440087
200	0.3265758623	0.8847305389	0.8322440087
201	0.3261540174	0.8847305389	0.8322440087
202	0.326153872	0.8847305389	0.8322440087
203	0.3256543208	0.8862275449	0.8347826087
204	0.325501423	0.8862275449	0.8347826087
205	0.3254665102	0.8862275449	0.8347826087
206	0.3251493604	0.8862275449	0.8347826087
207	0.3251058653	0.8862275449	0.8347826087
208	0.3247632378	0.8862275449	0.8347826087
209	0.3245386964	0.8877245509	0.8366013072
210	0.3237341306	0.8907185629	0.84164859
211	0.3233256176	0.8892215569	0.8391304348
212	0.3232957974	0.8892215569	0.8391304348
213	0.3229699174	0.8892215569	0.8391304348
214	0.3225119461	0.8892215569	0.8398268398
